Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no units	m/(s^2)	m/(s^2)	no units	m/(s^2)	no units	no units	no units	ms	no units	local_flux	local_flux	no units	local_flux	no units	deg/s	no units	no units	deg/s	deg/s	no units	
2516.0	-1.8100087820033737	7.094359894900733	1501.0	-5.815971926066597	2240.0	0.0	33573.0	1024.566650390625	600.0	0.1975	-0.6740890688259109	-743.0	-0.7995951417004049	202.0	0.8411072029362289	830.0	-788.0	12.071405780774755	-13.766043652795291	-194.0	
2481.0	-0.7902260856299104	6.691677151294664	1532.0	-5.392141006987033	2154.0	0.0	34213.0	1044.097900390625	600.0	0.1975	-0.6740890688259109	-743.0	-0.7995951417004049	202.0	0.749350053525004	558.0	-831.0	12.694713442480774	-9.586111021168257	-188.0	
2489.0	-1.287799846826722	6.934301031613513	1513.0	-5.4886498091612985	2196.0	0.0	34853.0	1063.629150390625	601.0	0.2	-0.6761133603238867	-744.0	-0.7894736842105263	197.0	29.80578070041291	1005.0	-578.0	7.709835578492374	-16.49494399498997	-2088.0	
2564.0	-2.3020928235836706	6.695479546394856	1535.0	-6.407183626464566	2281.0	0.0	35493.0	1083.160400390625	601.0	0.2	-0.6761133603238867	-744.0	-0.7894736842105263	197.0	37.436916959779786	1156.0	-348.0	3.890225015996717	-18.850157132991793	-2587.0	
2580.0	-2.3288039502960034	6.405319256113935	1559.0	-6.606025027874657	2283.0	0.0	36133.0	1102.691650390625	601.0	0.2	-0.6761133603238867	-744.0	-0.7894736842105263	197.0	20.24774430341031	493.0	-596.0	8.290415699956897	-8.632762560815376	-1463.0	
2549.0	-1.8940170429716539	7.026867131406036	1507.0	-6.215752225391957	2247.0	0.0	36773.0	1122.222900390625	584.0	0.1575	-0.688259109311741	-750.0	-0.7692307692307693	187.0	18.611408472243465	-29.0	-538.0	7.383691165643947	-0.6320093366173062	-1356.0	
2559.0	-3.1974143881925783	7.639513561694564	1459.0	-6.337015197949239	2357.0	0.0	37413.0	1141.754150390625	584.0	0.1575	-0.688259109311741	-750.0	-0.7692307692307693	187.0	39.409695672121124	472.0	-293.0	2.860436889430863	-8.364828192100015	-2716.0	
2596.0	-2.9858090190330553	7.371479049075453	1481.0	-6.786042967040147	2339.0	0.0	38053.0	1161.285400390625	584.0	0.1575	-0.688259109311741	-750.0	-0.7692307692307693	187.0	26.05903043278789	61.0	-259.0	2.8084064121342727	-2.0587657133836443	-1843.0	
