Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	
no units	m/(s^2)	m/(s^2)	no units	no units	m/(s^2)	no units	ms	no units	local_flux	no units	local_flux	no units	no units	local_flux	no units	deg/s	deg/s	no units	deg/s	no units	
2013.0	10.12228832185567	1.5145464712812875	1934.0	1233.0	0.2519957403550258	0.0	1705.352783203125	55881.0	0.4925	718.0	0.7672064777327935	-31.0	-409.0	0.43724696356275305	-16.0	-0.9940357852882705	-5.626672494467115	359.0	-0.9615912607740406	-74.0	
2011.0	9.873555166407572	1.64123092647153	1924.0	1254.0	0.27613848344651837	0.0	1724.884033203125	56521.0	0.4925	718.0	0.7672064777327935	-31.0	-409.0	0.43724696356275305	-87.0	7.952286282306164	-5.595484608352312	333.0	0.12817895781397576	-659.0	
2008.0	9.470089996535124	1.7709044154172395	1914.0	1288.0	0.3108418798399611	0.0	1744.415283203125	57161.0	0.4875	716.0	0.757085020242915	-36.0	-423.0	0.46558704453441296	-97.0	4.694907478207678	-5.17450327387668	314.0	0.2858336077399811	-446.0	
2005.0	9.567011976293724	1.939292867467622	1900.0	1280.0	0.35132344699180773	0.0	1763.946533203125	57801.0	0.4875	716.0	0.757085020242915	-36.0	-423.0	0.46558704453441296	-90.0	-1.4834072488148036	-4.864798545873365	310.0	0.18151926941313995	-42.0	
2000.0	9.755859144343578	1.776390624833939	1913.0	1264.0	0.4101948376750543	0.0	1783.477783203125	58441.0	0.4875	716.0	0.757085020242915	-36.0	-423.0	0.46558704453441296	15.0	-4.205536014681145	-4.047682199216933	265.0	-1.4214803512234109	136.0	
1996.0	10.115119669261482	1.9881574023386959	1895.0	1234.0	0.46621554955866584	0.0	1803.009033203125	59081.0	0.4925	718.0	0.7307692307692307	-49.0	-419.0	0.4574898785425101	77.0	2.553907325279095	-4.323900979954018	266.0	-2.375600525834526	-306.0	
1992.0	9.735214230392886	2.0928516107171915	1887.0	1266.0	0.5127031504218872	0.0	1822.540283203125	59721.0	0.4925	718.0	0.7307692307692307	-49.0	-419.0	0.4574898785425101	81.0	6.239486159963298	-3.57861444733068	208.0	-2.4295255951407926	-547.0	
1988.0	9.699502303027222	2.0930874455794255	1887.0	1269.0	0.5605435189298126	0.0	1842.071533203125	60361.0	0.4925	718.0	0.7307692307692307	-49.0	-419.0	0.4574898785425101	102.0	1.91160727940052	-2.633259041841164	158.0	-2.7423061979065197	-264.0	
1983.0	9.75754530333928	1.9450065244042003	1899.0	1264.0	0.6184032943648503	0.0	1861.602783203125	61001.0	0.4925	718.0	0.7307692307692307	-49.0	-419.0	0.4574898785425101	198.0	0.0	-2.1421746837846882	132.0	-4.210465785505947	-139.0	
