Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Wide Range Accelerometer X	Wide Range Accelerometer X	Wide Range Accelerometer Z	Wide Range Accelerometer Z	Wide Range Accelerometer Y	Wide Range Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	
no units	m/(s^2)	m/(s^2)	no units	no units	m/(s^2)	no units	m/(s^2)	m/(s^2)	no units	no units	m/(s^2)	no units	no units	ms	local_flux	no units	local_flux	no units	no units	local_flux	deg/s	no units	deg/s	no units	no units	deg/s	
2003.0	9.807970742809607	-0.11451303440257532	2061.0	1259.0	0.7957297578069616	-16128.0	9.888412017167381	-0.03923973022685469	64.0	1024.0	0.627835683629675	0.0	3581.0	109.283447265625	-0.391304347826087	721.0	1.1898989898989898	-168.0	-494.0	-0.532934131736527	3.615064500114916	214.0	-1.1826691945967487	99.0	-282.0	-2.6217019757996285	
2002.0	9.746890586443477	-0.11352037763075554	2061.0	1264.0	0.8071770755821029	-16000.0	9.809932556713672	-0.03923973022685469	64.0	896.0	0.5493562231759657	0.0	4221.0	128.814697265625	-0.3826086956521739	725.0	1.1535353535353536	-186.0	-480.0	-0.5608782435129741	3.4608495447956824	266.0	-0.46563818405226964	54.0	-272.0	-3.411034350961265	
2001.0	9.648994691605118	-0.1361695584767122	2063.0	1272.0	0.8180198175963441	-15936.0	9.770692826486817	0.0	0.0	1088.0	0.6670754138565297	0.0	4861.0	148.345947265625	-0.3760869565217391	728.0	1.1676767676767676	-179.0	-492.0	-0.5369261477045909	2.161530537426883	261.0	-0.018427316279435807	30.0	-187.0	-3.321995533511151	
2002.0	9.796018461530323	-0.07793451202697207	2058.0	1260.0	0.8080242129890092	-16000.0	9.809932556713672	0.0	0.0	1024.0	0.627835683629675	0.0	5501.0	167.877197265625	-0.3739130434782609	729.0	1.1636363636363636	-181.0	-496.0	-0.5289421157684632	1.8962675267887414	227.0	0.5640582247915025	-9.0	-169.0	-2.802232637245074	
2003.0	9.795899948938251	-0.10207656970809328	2060.0	1260.0	0.795733414515193	-16000.0	9.809932556713672	0.07847946045370938	-128.0	1088.0	0.6670754138565297	0.0	6141.0	187.408447265625	-0.3760869565217391	728.0	1.1656565656565656	-180.0	-487.0	-0.5469061876247505	2.3997150440089876	233.0	0.3527584227295306	3.0	-202.0	-2.8985218652689877	
2009.0	9.94341719824777	-0.054839594601758745	2056.0	1248.0	0.7253918001328454	-16256.0	9.966891477621092	0.0	0.0	832.0	0.510116492949111	0.0	6781.0	206.939697265625	-0.3717391304347826	730.0	1.1818181818181819	-172.0	-501.0	-0.5189620758483035	2.6049471773200366	197.0	0.3765431405591747	-1.0	-215.0	-2.353045669491832	
2001.0	9.833194055337886	-0.00577012404758534	2052.0	1257.0	0.821165805577963	-16256.0	9.966891477621092	0.11771919068056406	-192.0	896.0	0.5493562231759657	0.0	7421.0	226.470947265625	-0.3760869565217391	728.0	1.1717171717171717	-177.0	-492.0	-0.5369261477045909	4.257528907448702	218.0	0.19933659880082943	4.0	-323.0	-2.688963121774107	
1999.0	9.73517533034834	-0.028657739892909817	2054.0	1265.0	0.844053127711783	-16128.0	9.888412017167381	0.07847946045370938	-128.0	1024.0	0.627835683629675	0.0	8061.0	246.002197265625	-0.3652173913043478	733.0	1.1737373737373737	-176.0	-481.0	-0.5588822355289422	3.3410412340870406	200.0	-1.172114285547368	99.0	-264.0	-2.4060339864853573	
2000.0	9.650199246541874	-0.0023152837333903775	2052.0	1272.0	0.8314185986642292	-15936.0	9.770692826486817	0.07847946045370938	-128.0	1088.0	0.6670754138565297	0.0	8701.0	265.533447265625	-0.3673913043478261	732.0	1.1616161616161615	-182.0	-499.0	-0.5229540918163673	1.2029261277867074	128.0	-2.7462641753077914	211.0	-125.0	-1.2895958012018214	
1997.0	9.576802636002007	0.010636967734175856	2051.0	1278.0	0.8669587333867591	-15808.0	9.692213366033108	0.11771919068056406	-192.0	1088.0	0.6670754138565297	0.0	9341.0	285.064697265625	-0.3652173913043478	733.0	1.185858585858586	-170.0	-505.0	-0.5109780439121757	0.4928690340726612	74.0	-3.9740737237063617	294.0	-79.0	-0.46120245459928183	
1991.0	9.563994861223513	0.021642822432451136	2050.0	1279.0	0.939229870812463	-15680.0	9.613733905579398	0.07847946045370938	-128.0	1280.0	0.7847946045370937	0.0	9981.0	304.595947265625	-0.3630434782608696	734.0	1.1777777777777778	-174.0	-487.0	-0.5469061876247505	0.9801787173293082	43.0	-3.2922171095922077	245.0	-110.0	0.0054073383019920904	
1990.0	9.466219637756787	0.011183887926738995	2051.0	1287.0	0.950195722003823	-15616.0	9.574494175352545	0.15695892090741875	-256.0	1280.0	0.7847946045370937	0.0	10621.0	324.127197265625	-0.3630434782608696	734.0	1.185858585858586	-170.0	-499.0	-0.5229540918163673	2.4777015866133056	68.0	-2.0319102384877543	155.0	-207.0	-0.38979602727297724	
1994.0	9.441724671017411	-0.048321167068537396	2056.0	1289.0	0.901162950702139	-15424.0	9.45677498467198	0.0	0.0	1216.0	0.745554874310239	0.0	11261.0	343.658447265625	-0.36086956521739133	735.0	1.1696969696969697	-178.0	-507.0	-0.5069860279441119	0.8420919014311306	82.0	-1.1599295067266184	105.0	-100.0	-0.5863676870751479	
1990.0	9.64824691680019	-0.07784111176853531	2058.0	1272.0	0.9511257447973043	-15808.0	9.692213366033108	0.03923973022685469	-64.0	1216.0	0.745554874310239	0.0	11901.0	363.189697265625	-0.358695652173913	736.0	1.1717171717171717	-177.0	-487.0	-0.5469061876247505	-1.5097110810013297	58.0	-0.3511746146880518	61.0	54.0	-0.1978306458439791	
1991.0	9.74614281163855	-0.055191930922578625	2056.0	1264.0	0.9402830027830631	-16064.0	9.849172286940528	0.0	0.0	1216.0	0.745554874310239	0.0	12541.0	382.720947265625	-0.3630434782608696	734.0	1.1898989898989898	-168.0	-507.0	-0.5069860279441119	-0.49460518995823044	101.0	0.518876439748521	0.0	-12.0	-0.8619741001916725	
1990.0	9.636176122928834	-0.0654046470740533	2057.0	1273.0	0.9511294015055355	-15872.0	9.731453096259962	0.07847946045370938	-128.0	1344.0	0.8240343347639485	0.0	13181.0	402.252197265625	-0.36086956521739133	735.0	1.1676767676767676	-179.0	-490.0	-0.5409181636726548	1.3204600051076751	154.0	1.7291390742664952	-87.0	-130.0	-1.6862084023324457	
1995.0	9.808315486688034	0.017672195345171976	2050.0	1259.0	0.893440599711898	-16000.0	9.809932556713672	0.0	0.0	1152.0	0.7063151440833844	0.0	13821.0	421.783447265625	-0.3630434782608696	734.0	1.1656565656565656	-180.0	-491.0	-0.5389221556886228	0.9087504491308279	152.0	1.9664723817982237	-101.0	-103.0	-1.651673055822107	
1992.0	9.881578473178921	0.06424056558262153	2046.0	1253.0	0.9307834915924346	-16064.0	9.849172286940528	0.23543838136112813	-384.0	1280.0	0.7847946045370937	0.0	14461.0	441.314697265625	-0.36086956521739133	735.0	1.1656565656565656	-180.0	-500.0	-0.5209580838323354	-0.49541897147540026	161.0	1.3500376787334751	-53.0	-12.0	-1.774513490893611	
1990.0	9.96655239820583	0.04984992076397887	2047.0	1246.0	0.9555857099366858	-16448.0	10.084610668301655	0.11771919068056406	-192.0	1280.0	0.7847946045370937	0.0	15101.0	460.845947265625	-0.3565217391304348	737.0	1.1777777777777778	-174.0	-506.0	-0.5089820359281437	-1.422862972197988	114.0	-0.023300727033606833	41.0	48.0	-1.0504101535479824	
1993.0	9.881459960586849	0.0400985079015003	2048.0	1253.0	0.9184926931186183	-16192.0	9.927651747394236	0.15695892090741875	-256.0	1344.0	0.8240343347639485	0.0	15741.0	480.377197265625	-0.358695652173913	736.0	1.1757575757575758	-175.0	-491.0	-0.5389221556886228	-1.2802154391466114	92.0	-1.4409158743279455	134.0	38.0	-0.7172358684222222	
1992.0	9.782960708890334	-0.04350190464567888	2055.0	1261.0	0.9287198892472656	-16192.0	9.927651747394236	0.07847946045370938	-128.0	1280.0	0.7847946045370937	0.0	16381.0	499.908447265625	-0.3652173913043478	733.0	1.185858585858586	-170.0	-502.0	-0.5169660678642716	-2.193055825634556	49.0	-2.8278297353178394	229.0	97.0	-0.0541150691200803	
1985.0	9.795378405419678	0.06429504906670966	2046.0	1260.0	1.0142593851472732	-16128.0	9.888412017167381	0.15695892090741875	-256.0	1216.0	0.745554874310239	0.0	17021.0	519.439697265625	-0.358695652173913	736.0	1.1717171717171717	-177.0	-493.0	-0.5349301397205589	-2.716535194458092	30.0	-3.2827146265489677	261.0	131.0	0.24009310859857336	
1983.0	9.672735407200891	0.01751937724937122	2050.0	1270.0	1.0366615839890807	-15872.0	9.731453096259962	0.07847946045370938	-128.0	1280.0	0.7847946045370937	0.0	17661.0	538.970947265625	-0.358695652173913	736.0	1.1676767676767676	-179.0	-489.0	-0.5429141716566867	-3.0725748313005363	70.0	-2.9787271033461367	244.0	154.0	-0.3647115140444091	
1980.0	9.745274365461992	-0.009053730554646255	2052.0	1264.0	1.0732658208069046	-16000.0	9.809932556713672	0.15695892090741875	-256.0	1408.0	0.8632740649908032	0.0	18301.0	558.502197265625	-0.3673913043478261	732.0	1.187878787878788	-169.0	-510.0	-0.500998003992016	-3.0981945493943686	60.0	-2.623207531201897	220.0	156.0	-0.21236406211061906	
1975.0	9.659199286633495	-0.020712623412067088	2053.0	1271.0	1.1325294449454668	-16000.0	9.809932556713672	0.07847946045370938	-128.0	1600.0	0.9809932556713672	0.0	18941.0	578.033447265625	-0.3630434782608696	734.0	1.1737373737373737	-176.0	-504.0	-0.5129740518962077	-1.4736616775237943	39.0	-1.6396054071220096	146.0	51.0	0.09078224415166379	
1972.0	9.79329892796769	0.012434408713950407	2050.0	1260.0	1.170346489993322	-16064.0	9.849172286940528	0.15695892090741875	-256.0	1664.0	1.020232985898222	0.0	19581.0	597.564697265625	-0.3630434782608696	734.0	1.183838383838384	-171.0	-501.0	-0.5189620758483035	-1.0150795525646759	46.0	-0.18300629682161665	47.0	22.0	-0.020267455424923586	
1977.0	9.83024613170934	-0.011492564032412195	2052.0	1257.0	1.1102357284478532	-16128.0	9.888412017167381	0.11771919068056406	-192.0	1536.0	0.9417535254445125	0.0	20221.0	617.095947265625	-0.3630434782608696	734.0	1.1777777777777778	-174.0	-511.0	-0.4990019960079841	-0.999882752961734	125.0	1.0034271272854909	-29.0	21.0	-1.2219403359684817	
1975.0	9.854383401892939	-0.012461870739622793	2052.0	1255.0	1.1345637936247859	-16192.0	9.927651747394236	0.11771919068056406	-192.0	1600.0	0.9809932556713672	0.0	20861.0	636.627197265625	-0.3565217391304348	737.0	1.1757575757575758	-175.0	-509.0	-0.502994011976048	-0.7885998019983047	166.0	1.2685373633960448	-46.0	7.0	-1.8476273099648077	
1975.0	9.890957797621903	-0.013200525802335328	2052.0	1252.0	1.1349221510314484	-16192.0	9.927651747394236	0.11771919068056406	-192.0	1536.0	0.9417535254445125	0.0	21501.0	656.158447265625	-0.3695652173913044	731.0	1.1737373737373737	-176.0	-505.0	-0.5109780439121757	0.15343321743186897	175.0	1.988057345317356	-98.0	-54.0	-1.9939297694366762	
1978.0	9.830127619117267	-0.03563462171353343	2054.0	1257.0	1.0979449299740371	-16256.0	9.966891477621092	0.03923973022685469	-64.0	1536.0	0.9417535254445125	0.0	22141.0	675.689697265625	-0.3652173913043478	733.0	1.183838383838384	-171.0	-503.0	-0.5149700598802396	0.274982606371391	150.0	1.48462826243185	-66.0	-62.0	-1.6149171264439421	
1974.0	9.817444833269521	-0.03634214335676708	2054.0	1258.0	1.1460037979834645	-16128.0	9.888412017167381	0.03923973022685469	-64.0	1536.0	0.9417535254445125	0.0	22781.0	695.220947265625	-0.3695652173913044	731.0	1.1616161616161615	-182.0	-491.0	-0.5389221556886228	-1.4199970905630328	119.0	0.3393617226546798	17.0	48.0	-1.1264844397407576	
1971.0	9.93874965250257	-0.06390012457773461	2056.0	1248.0	1.1830858446768384	-16320.0	10.006131207847945	0.03923973022685469	-64.0	1664.0	1.020232985898222	0.0	23421.0	714.752197265625	-0.3652173913043478	733.0	1.1737373737373737	-176.0	-501.0	-0.5189620758483035	-2.987140531349515	100.0	-0.11784666790845738	54.0	150.0	-0.8218396213024746	
